Arica y Parinacota 0 13
Tarapaca 445 152
Antofagasta 247 67
Atacama 289 8
Coquimbo 177 33
Valparaiso 587 166
Metropolitana 11285 4436
O'Higgins 196 23
Maule 0 37
Nuble 639 32
Biobio 1295 75
Araucania 491 34
Los Rios 114 5
Los Lagos 994 0
Aysen 24 0
Magallanes 107 1
