Nations,All ages estimate
Argentina,120 000
Bolivia (Plurinational State of),21 000
Brazil,860 000
Chile,67 000
Colombia,150 000
Costa Rica,13 000
Ecuador,36 000
El Salvador,25 000
Guatemala,46 000
Honduras,22 000
Mexico,230 000
Nicaragua,9000
Panama,25 000
Paraguay,20 000
Peru,72 000
Uruguay,13 000
Venezuela (Bolivarian Republic of),0
